No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,摘要,入力者,入庫日,下代（数値）
195,FALSE,Pt900,リング,オーバル,120,ORA1-2-120,"135,000",20263,,,,fujita,2023/08/18,"35,000"
196,FALSE,Pt900,リング,オーバル,120,ORB1-2-120,"250,000",403,0.17ct,,,坂井,2024/10/08,"25,000"
197,FALSE,Pt900,リング,オーバル,120,ORK1-1-120,"250,000",3032,0.13ct,,,tanaka,2024/02/21,"26,000"
198,FALSE,Pt900,リング,オーバル,120,ORK1-1-120,"270,000",20345,0.12ct,,,fujita,2023/12/05,"25,400"
199,FALSE,Pt900,リング,オーバル,130,09A-150-130,"110,000",102237,,,,YUKARI,2020/07/16,"40,000"
200,FALSE,Pt900,リング,オーバル,130,09B-312-130,"270,000",102626,0.33ct,,,fujita,2021/08/09,"36,500"
201,FALSE,Pt900,リング,オーバル,130,09C-175-140,"210,000",103283,0.11ct,,,fujita,2022/12/02,"33,000"
202,FALSE,Pt900,リング,オーバル,130,09H-91-130,"340,000",20291,0.40ct,,,fujita,2021/08/09,"38,000"
203,FALSE,Pt900,リング,オーバル,130,09K-16-130,"270,000",20298,0.30ct,,,suzuki,2017/03/07,"36,500"
204,FALSE,Pt900,リング,オーバル,130,09K-16-130,"270,000",102883,0.28ct,,,tanaka,2023/11/14,"41,000"
205,FALSE,Pt900,リング,オーバル,130,09S-111-130,"330,000",103165,0.39ct,,,fujita,2021/08/09,"36,000"
206,FALSE,Pt900,リング,オーバル,130,09S-144-130,"190,000",403,0.17ct,,,河野,2022/03/09,"56,500"
207,FALSE,Pt900,リング,オーバル,130,09S-161-130,"660,000",20496,0.84ct,,,tanaka,2023/11/14,"31,000"
208,FALSE,Pt900,リング,オーバル,130,ORA1-2-130,"140,000",20274,,,,fujita,2023/08/18,"41,000"
